TraumaChek Data File,,,,,,,,,,,,,
,,,,,,,,,,,,,
Test Date:,2025-04-21,,,,,,,,,,,,
Test ID:,NULL,,,,,,,,,,,,
,,,,,,,,,,,,,
Output Parameters:,,,,,,,,,,,,,
,Channel 1,Channel 2,Channel 3,Channel 4,,,,,,,,,
Tpeak (min),0.00000,0.00000,142.000,145.000,,,,,,,,,
Delta Epsilon Max,0.00000,0.00000,0.00000,0.00000,,,,,,,,,
S Max,0.00000,0.00000,-0.2609,-0.1360,,,,,,,,,
HCT (%),n/a,n/a,n/a,n/a,,,,,,,,,
Maximum Lysis Rate,n/a,n/a,n/a,n/a,,,,,,,,,
Lysis Time (min),n/a,n/a,n/a,n/a,,,,,,,,,
,,,,,,,,,,,,,
Data Table:,,,,,,,,,,,,,
,Capacitance (pF),,,,Conductance (mS),,,,,Normalized Permittivity,,,
Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 1,Channel 2,Channel 3,Channel 4,Temperature (ºC),Channel 1,Channel 2,Channel 3,Channel 4
0.017,133.839,128.570,128.839,129.389,0.000,0.000,0.000,0.000,1.730,0.0,0.0,0.0,0.0
0.033,134.070,128.740,129.104,129.565,0.000,0.000,0.000,0.000,1.460,0.0,0.0,0.0,0.0
0.050,134.226,128.866,129.270,129.806,0.000,0.000,0.000,0.000,1.460,0.0,0.0,0.0,0.0
0.067,134.369,129.027,129.434,129.994,0.000,0.000,0.000,0.000,1.320,0.0,0.0,0.0,0.0
0.083,134.509,129.186,129.585,130.179,0.000,0.000,0.000,0.000,1.320,0.0,0.0,0.0,0.0
0.100,134.691,129.324,129.714,130.301,0.000,0.000,0.000,0.000,1.160,0.0,0.0,0.0,0.0
0.117,134.871,129.478,129.857,130.452,0.000,0.000,0.000,0.000,1.160,0.0,0.0,0.0,0.0
0.133,135.037,129.588,129.957,130.571,0.000,0.000,0.000,0.000,1.000,0.0,0.0,0.0,0.0
0.150,135.184,129.717,130.068,130.718,0.000,0.000,0.000,0.000,1.000,0.0,0.0,0.0,0.0
0.167,135.310,129.841,130.204,130.855,0.000,0.000,0.000,0.000,0.870,0.0,0.0,0.0,0.0
0.183,135.625,130.103,130.492,131.128,0.000,0.000,0.000,0.000,0.870,0.0,0.0,0.0,0.0
0.200,135.892,130.360,130.748,131.388,0.000,0.000,0.000,0.000,0.730,0.0,0.0,0.0,0.0
0.217,136.156,130.643,130.983,131.642,0.000,0.000,0.000,0.000,0.730,0.0,0.0,0.0,0.0
0.233,136.417,130.890,131.229,131.884,0.000,0.000,0.000,0.000,0.590,0.0,0.0,0.0,0.0
0.250,136.701,131.134,131.445,132.092,0.000,0.000,0.000,0.000,0.590,0.0,0.0,0.0,0.0
0.267,136.949,131.400,131.668,132.347,0.000,0.000,0.000,0.000,0.470,0.0,0.0,0.0,0.0
0.283,137.188,131.634,131.880,132.567,0.000,0.000,0.000,0.000,0.470,0.0,0.0,0.0,0.0
0.300,137.399,131.927,132.138,132.787,0.000,0.000,0.000,0.000,0.320,0.0,0.0,0.0,0.0
0.317,137.634,132.187,132.365,133.006,0.000,0.000,0.000,0.000,0.320,0.0,0.0,0.0,0.0
0.333,137.868,132.444,132.584,133.217,0.000,0.000,0.000,0.000,0.200,0.0,0.0,0.0,0.0
0.350,138.091,132.727,132.776,133.453,0.000,0.000,0.000,0.000,0.200,0.0,0.0,0.0,0.0
0.367,138.332,133.005,132.993,133.658,0.000,0.000,0.000,0.000,0.080,0.0,0.0,0.0,0.0
0.383,138.555,133.244,133.205,133.840,0.000,0.000,0.000,0.000,0.080,0.0,0.0,0.0,0.0
0.400,138.803,133.522,133.393,134.048,0.000,0.000,0.000,0.000,-0.010,0.0,0.0,0.0,0.0
0.417,138.995,133.768,133.604,134.276,0.000,0.000,0.000,0.000,-0.010,0.0,0.0,0.0,0.0
