TraumaChek Data File,,,,,,,,,,,,,
,,,,,,,,,,,,,
Test Date:,2025-04-15,,,,,,,,,,,,
Test ID:,NULL,,,,,,,,,,,,
,,,,,,,,,,,,,
Output Parameters:,,,,,,,,,,,,,
,Channel 1,Channel 2,Channel 3,Channel 4,,,,,,,,,
Tpeak (min),609.,582.,142.,145.,,,,,,,,,
Delta Epsilon Max,0.16,0.16,0.13,0.09,,,,,,,,,
S Max,-0.0,-0.0,-0.0,-0.0,,,,,,,,,
HCT (%),n/a,n/a,n/a,n/a,,,,,,,,,
Maximum Lysis Rate,n/a,n/a,n/a,n/a,,,,,,,,,
Lysis Time (min),n/a,n/a,n/a,n/a,,,,,,,,,
,,,,,,,,,,,,,
Data Table:,,,,,,,,,,,,,
,Capacitance (pF),,,,Conductance (mS),,,,,Normalized Permittivity,,,
Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 1,Channel 2,Channel 3,Channel 4,Temperature (ºC),Channel 1,Channel 2,Channel 3,Channel 4
0.017,134.070,128.740,129.104,129.565,0.000,0.000,0.000,0.000,21.970,0.0,0.0,0.0,0.0
0.033,134.226,128.866,129.270,129.806,0.000,0.000,0.000,0.000,21.970,0.0,0.0,0.0,0.0
0.050,134.369,129.027,129.434,129.994,0.000,0.000,0.000,0.000,21.970,0.0,0.0,0.0,0.0
0.067,134.509,129.186,129.585,130.179,0.000,0.000,0.000,0.000,21.970,0.0,0.0,0.0,0.0
0.083,136.417,130.890,131.229,131.884,0.000,0.000,0.000,0.000,21.930,0.0,0.0,0.0,0.0
0.100,136.701,131.134,131.445,132.092,0.000,0.000,0.000,0.000,21.910,0.0,0.0,0.0,0.0
0.117,136.949,131.400,131.668,132.347,0.000,0.000,0.000,0.000,21.910,0.0,0.0,0.0,0.0
0.133,137.188,131.634,131.880,132.567,0.000,0.000,0.000,0.000,21.900,0.0,0.0,0.0,0.0
0.150,137.399,131.927,132.138,132.787,0.000,0.000,0.000,0.000,21.810,0.0,0.0,0.0,0.0
0.167,137.634,132.187,132.365,133.006,0.000,0.000,0.000,0.000,21.810,0.0,0.0,0.0,0.0
0.183,137.868,132.444,132.584,133.217,0.000,0.000,0.000,0.000,21.800,0.0,0.0,0.0,0.0
0.200,138.091,132.727,132.776,133.453,0.000,0.000,0.000,0.000,21.780,0.0,0.0,0.0,0.0
0.217,138.332,133.005,132.993,133.658,0.000,0.000,0.000,0.000,21.780,0.0,0.0,0.0,0.0
0.233,138.555,133.244,133.205,133.840,0.000,0.000,0.000,0.000,21.780,0.0,0.0,0.0,0.0
0.250,138.803,133.522,133.393,134.048,0.000,0.000,0.000,0.000,21.800,0.0,0.0,0.0,0.0
0.267,138.995,133.768,133.604,134.276,0.000,0.000,0.000,0.000,21.810,0.0,0.0,0.0,0.0
0.283,139.216,134.010,133.828,134.476,0.000,0.000,0.000,0.000,21.810,0.0,0.0,0.0,0.0
0.300,139.410,134.282,134.061,134.682,0.000,0.000,0.000,0.000,21.810,0.0,0.0,0.0,0.0
