TraumaChek Data File,,,,,,,,,,,,,
,,,,,,,,,,,,,
Test Date:,2025-04-20,,,,,,,,,,,,
Test ID:,NULL,,,,,,,,,,,,
,,,,,,,,,,,,,
Output Parameters:,,,,,,,,,,,,,
,Channel 1,Channel 2,Channel 3,Channel 4,,,,,,,,,
Tpeak (min),609.000,582.000,142.000,145.000,,,,,,,,,
Delta Epsilon Max,0.33438,0.35465,0.11822,0.10000,,,,,,,,,
S Max,-0.0000,-0.0000,-0.0000,-0.0000,,,,,,,,,
HCT (%),n/a,n/a,n/a,n/a,,,,,,,,,
Maximum Lysis Rate,n/a,n/a,n/a,n/a,,,,,,,,,
Lysis Time (min),n/a,n/a,n/a,n/a,,,,,,,,,
,,,,,,,,,,,,,
Data Table:,,,,,,,,,,,,,
,Capacitance (pF),,,,Conductance (mS),,,,,Normalized Permittivity,,,
Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 1,Channel 2,Channel 3,Channel 4,Temperature (ºC),Channel 1,Channel 2,Channel 3,Channel 4
0.017,133.839,128.570,128.839,129.389,0.000,0.000,0.000,0.000,-9.650,0.0,0.0,0.0,0.0
0.033,134.070,128.740,129.104,129.565,0.000,0.000,0.000,0.000,-9.650,0.0,0.0,0.0,0.0
0.050,134.226,128.866,129.270,129.806,0.000,0.000,0.000,0.000,-9.650,0.0,0.0,0.0,0.0
0.067,134.369,129.027,129.434,129.994,0.000,0.000,0.000,0.000,-9.650,0.0,0.0,0.0,0.0
0.083,134.509,129.186,129.585,130.179,0.000,0.000,0.000,0.000,-9.630,0.0,0.0,0.0,0.0
0.100,134.691,129.324,129.714,130.301,0.000,0.000,0.000,0.000,-9.630,0.0,0.0,0.0,0.0
